threshold,precision,recall,f1,roc_auc,pr_auc,brier
0.05,0.06896551724137931,0.9183673469387755,0.12829650748396293,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.1,0.11984021304926765,0.9183673469387755,0.21201413427561838,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.15,0.16952380952380952,0.9081632653061225,0.2857142857142857,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.2,0.21601941747572814,0.9081632653061225,0.34901960784313724,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.25,0.2558139534883721,0.8979591836734694,0.39819004524886875,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.3,0.3044982698961938,0.8979591836734694,0.45478036175710596,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.35,0.33587786259541985,0.8979591836734694,0.4888888888888889,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.4,0.3826086956521739,0.8979591836734694,0.5365853658536586,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.45,0.42105263157894735,0.8979591836734694,0.5732899022801303,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.5,0.4731182795698925,0.8979591836734694,0.6197183098591549,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.55,0.5057471264367817,0.8979591836734694,0.6470588235294118,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.6,0.55,0.8979591836734694,0.6821705426356589,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.65,0.5827814569536424,0.8979591836734694,0.7068273092369478,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.7,0.6214285714285714,0.8877551020408163,0.7310924369747899,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.75,0.6692307692307692,0.8877551020408163,0.7631578947368421,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.8,0.696,0.8877551020408163,0.7802690582959642,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.85,0.7327586206896551,0.8673469387755102,0.794392523364486,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.9,0.7545454545454545,0.8469387755102041,0.7980769230769231,0.981444448910684,0.8719074109423091,0.0018058199202641845
0.95,0.780952380952381,0.8367346938775511,0.8078817733990148,0.981444448910684,0.8719074109423091,0.0018058199202641845
